ID,Imię,Nazwisko,Dział,Stanowisko,Wynagrodzenie,Premia,Waluta,Data wypłaty,Email,Telefon,Miasto,Kraj,Umowa,Staż lata,Godziny,Status,Ocena,Projekt,Opis
108,"Imię 108","Nazwisko 108",Sprzedaż,Specjalista,4300,450,PLN,2026-09-25,user108@example.com,+48100100108,Warszawa,Polska,UoP,1,188,Aktywny,4,"Projekt 108","Rozliczenie miesiąca dla użytkownika 108"
109,"Imię 109","Nazwisko 109",Logistyka,Pracownik,4400,600,PLN,2026-09-26,user109@example.com,+48100100109,Warszawa,Polska,UoP,2,189,Aktywny,5,"Projekt 109","Rozliczenie miesiąca dla użytkownika 109"
110,"Imię 110","Nazwisko 110",Sprzedaż,Pracownik,4500,750,PLN,2026-09-27,user110@example.com,+48100100110,Warszawa,Polska,UoP,3,190,Aktywny,1,"Projekt 110","Rozliczenie miesiąca dla użytkownika 110"
111,"Imię 111","Nazwisko 111",Logistyka,Specjalista,4600,900,PLN,2026-09-28,user111@example.com,+48100100111,Warszawa,Polska,UoP,4,191,Aktywny,2,"Projekt 111","Rozliczenie miesiąca dla użytkownika 111"
112,"Imię 112","Nazwisko 112",Sprzedaż,Pracownik,4700,0,PLN,2026-09-01,user112@example.com,+48100100112,Warszawa,Polska,UoP,5,192,Aktywny,3,"Projekt 112","Rozliczenie miesiąca dla użytkownika 112"
113,"Imię 113","Nazwisko 113",Logistyka,Pracownik,4800,150,PLN,2026-09-02,user113@example.com,+48100100113,Warszawa,Polska,UoP,6,193,Aktywny,4,"Projekt 113","Rozliczenie miesiąca dla użytkownika 113"
114,"Imię 114","Nazwisko 114",Sprzedaż,Specjalista,4900,300,PLN,2026-09-03,user114@example.com,+48100100114,Warszawa,Polska,UoP,7,194,Aktywny,5,"Projekt 114","Rozliczenie miesiąca dla użytkownika 114"
115,"Imię 115","Nazwisko 115",Logistyka,Pracownik,5000,450,PLN,2026-09-04,user115@example.com,+48100100115,Warszawa,Polska,UoP,8,195,Aktywny,1,"Projekt 115","Rozliczenie miesiąca dla użytkownika 115"
116,"Imię 116","Nazwisko 116",Sprzedaż,Pracownik,5100,600,PLN,2026-09-05,user116@example.com,+48100100116,Warszawa,Polska,UoP,9,196,Aktywny,2,"Projekt 116","Rozliczenie miesiąca dla użytkownika 116"
117,"Imię 117","Nazwisko 117",Logistyka,Specjalista,5200,750,PLN,2026-09-06,user117@example.com,+48100100117,Warszawa,Polska,UoP,10,197,Aktywny,3,"Projekt 117","Rozliczenie miesiąca dla użytkownika 117"
